Gene stable ID	Human gene stable ID	Human gene name	Gene name
ENSMUSG00000064336			mt-Tf
ENSMUSG00000064337			mt-Rnr1
ENSMUSG00000064338			mt-Tv
ENSMUSG00000064339			mt-Rnr2
ENSMUSG00000064340			mt-Tl1
ENSMUSG00000064341	ENSG00000198888	MT-ND1	mt-Nd1
ENSMUSG00000064342			mt-Ti
ENSMUSG00000064343			mt-Tq
ENSMUSG00000064344			mt-Tm
ENSMUSG00000064345	ENSG00000198763	MT-ND2	mt-Nd2
ENSMUSG00000064346			mt-Tw
ENSMUSG00000064347			mt-Ta
ENSMUSG00000064348			mt-Tn
ENSMUSG00000064349			mt-Tc
ENSMUSG00000064350			mt-Ty
ENSMUSG00000064351	ENSG00000198804	MT-CO1	mt-Co1
ENSMUSG00000064352			mt-Ts1
ENSMUSG00000064353			mt-Td
ENSMUSG00000064354	ENSG00000198712	MT-CO2	mt-Co2
ENSMUSG00000064355			mt-Tk
ENSMUSG00000064356	ENSG00000228253	MT-ATP8	mt-Atp8
ENSMUSG00000064357	ENSG00000198899	MT-ATP6	mt-Atp6
ENSMUSG00000064358	ENSG00000198938	MT-CO3	mt-Co3
ENSMUSG00000064359			mt-Tg
ENSMUSG00000064360	ENSG00000198840	MT-ND3	mt-Nd3
ENSMUSG00000064361			mt-Tr
ENSMUSG00000065947	ENSG00000212907	MT-ND4L	mt-Nd4l
ENSMUSG00000064363	ENSG00000198886	MT-ND4	mt-Nd4
ENSMUSG00000064364			mt-Th
ENSMUSG00000064365			mt-Ts2
ENSMUSG00000064366			mt-Tl2
ENSMUSG00000064367	ENSG00000198786	MT-ND5	mt-Nd5
ENSMUSG00000064368	ENSG00000198695	MT-ND6	mt-Nd6
ENSMUSG00000064369			mt-Te
ENSMUSG00000064370	ENSG00000198727	MT-CYB	mt-Cytb
ENSMUSG00000064371			mt-Tt
ENSMUSG00000064372			mt-Tp
ENSMUSG00002075400			
ENSMUSG00000094722	ENSG00000204479	PRAMEF17	
ENSMUSG00000094722	ENSG00000116726	PRAMEF12	
ENSMUSG00000094722	ENSG00000116721	PRAMEF1	
ENSMUSG00000094722	ENSG00000204480	PRAMEF19	
ENSMUSG00000094722	ENSG00000204478	PRAMEF20	
ENSMUSG00000094722	ENSG00000232423	PRAMEF6	
ENSMUSG00000094722	ENSG00000279804	PRAMEF18	
ENSMUSG00000094722	ENSG00000187545	PRAMEF10	
ENSMUSG00000094722	ENSG00000120952	PRAMEF2	
ENSMUSG00000094722	ENSG00000237700	PRAMEF33	
